,ISO3,Name,Year,Start Date,Event Name,Hazard Category,Hazard Type,New Displacements
0,AB9,Abyei Area,2018,01/07/2018,Abyie: Flood - 01/07/2018,Weather related,Flood,2.0
1,AB9,Abyei Area,2019,01/06/2019,Abyei: Flood - southern parts - 01/06/2019,Weather related,Flood,40000.0
30,AFG,Afghanistan,2014,06/06/2014,Guzargah-e-Nur flash floods,Weather related,Flood,5775.0
31,AFG,Afghanistan,2014,02/05/2014,Badakhshan landslide,Weather related,Wet mass movement,6366.0
32,AFG,Afghanistan,2014,12/04/2014,Rustaq landslide,Weather related,Wet mass movement,740.0
33,AFG,Afghanistan,2014,20/04/2014,"Waris, Yakawlang, Shibar districts and Bamyan City landslides and snow avalanches",Weather related,Wet mass movement,244.0
34,AFG,Afghanistan,2015,25/07/2015,Kofab district flash flood,Weather related,Flood,888.0
35,AFG,Afghanistan,2015,23/04/2015,Khwahan district landslide,Weather related,Wet mass movement,1450.0
36,AFG,Afghanistan,2015,07/07/2015,Shahada district riverbank subsidence,Weather related,Wet mass movement,1981.0
37,AFG,Afghanistan,2015,20/07/2015,Warduj and Darwazba district floods,Weather related,Flood,581.0
38,AFG,Afghanistan,2015,03/07/2015,Zebak district riverbank subsidence,Weather related,Wet mass movement,298.0
39,AFG,Afghanistan,2015,26/02/2015,Badakhshan avalanche,Weather related,Wet mass movement,256.0
40,AFG,Afghanistan,2015,26/10/2015,Northern Afghanistan earthquake,Geophysical,Earthquake,54642.0
41,AFG,Afghanistan,2015,25/12/2015,Badakhshan earthquake (Dec),Geophysical,Earthquake,44.0
42,AFG,Afghanistan,2015,18/07/2015,Jawzjan province flood,Weather related,Flood,3186.0
43,AFG,Afghanistan,2015,01/04/2015,Baghlan province flood,Weather related,Flood,2361.0
44,AFG,Afghanistan,2015,08/05/2015,Baghlan-i-Markhazi district flash flood,Weather related,Flood,3700.0
45,AFG,Afghanistan,2015,03/03/2015,Kahmard district landslide,Weather related,Wet mass movement,120.0
46,AFG,Afghanistan,2015,10/08/2015,Yakawlang district landslide,Weather related,Wet mass movement,231.0
47,AFG,Afghanistan,2015,13/07/2015,Shighnan district flood,Weather related,Flood,1210.0
48,AFG,Afghanistan,2016,15/04/2016,Country-wide floods,Weather related,Flood,1509.0
49,AFG,Afghanistan,2016,18/05/2016,Sari Pul province floods,Weather related,Flood,1480.0
50,AFG,Afghanistan,2016,02/04/2016,Central Highland storms,Weather related,Storm,225.0
51,AFG,Afghanistan,2016,04/04/2016,Jawzjan province floods,Weather related,Flood,629.0
52,AFG,Afghanistan,2016,10/06/2016,Badakhshan landslide,Geophysical,Dry mass movement,407.0
53,AFG,Afghanistan,2016,09/05/2016,Badakhshan floods,Weather related,Flood,1198.0
54,AFG,Afghanistan,2016,10/04/2016,North-eastern earthquake,Geophysical,Earthquake,1946.0
55,AFG,Afghanistan,2017,10/04/2017,Afghanistan: heavy rainfall and flood - Badakhshan; Baghlan; Takhar - 10/04/2017,Weather related,Flood,4447.0
56,AFG,Afghanistan,2017,15/11/2017,Afghanistan: heavy rainfall and floods - Khost; Ghazni - 15/11/2017,Weather related,Flood,185.0
57,AFG,Afghanistan,2017,07/05/2017,Afghanistan: flood - Badakhshan; Baghlan; Takhar - 07/05/2017,Weather related,Flood,2538.0
58,AFG,Afghanistan,2017,14/07/2017,Afghanistan: flood - Ghazni; Paktya - 14/07/2017,Weather related,Flood,118.0
59,AFG,Afghanistan,2017,03/02/2017,Afghanistan: avalanche - Daykundi - 03/02/2017,Weather related,Wet mass movement,15.0
60,AFG,Afghanistan,2017,12/05/2017,Afghanistan - flood - Bamyan - 12/05/2017,Weather related,Flood,955.0
61,AFG,Afghanistan,2017,03/02/2017,Afghanistan: floods - Kandahar; Hilmand - 03/02/2017,Weather related,Flood,451.0
62,AFG,Afghanistan,2017,04/02/2017,Afghanistan: heavy rainfall and floods - Kunar; Laghman; Nangarhar - 04/02/2017,Weather related,Flood,237.0
63,AFG,Afghanistan,2017,03/02/2017,Afghanistan: heavy rainfall and flood - Bamyan - 03/02/2017,Weather related,Flood,163.0
64,AFG,Afghanistan,2017,04/09/2017,Afghanistan: floods - Kunar; Nuristan - 04/09/2017,Weather related,Flood,133.0
65,AFG,Afghanistan,2017,16/11/2017,Afghanistan: heavy rainfall and floods - Kunar; Laghman; Nangarhar - 16/11/2017,Weather related,Flood,74.0
66,AFG,Afghanistan,2017,03/02/2017,Afghanistan: severe winter conditions - Ghor - 03/02/2017,Weather related,Extreme temperature,37.0
